selection,layer,language,total_readout,inside_subspace,share
same prompt,17,zh,0.014522111974656582,0.006254895590245724,0.43071528446836943
same prompt,18,en,0.013939631171524525,0.014745743945240974,1.05782884523969
same prompt,18,zh,0.02340361848473549,0.008143826387822628,0.34797295952906876
same prompt,19,en,0.01928441785275936,0.01854638382792473,0.9617289964120421
same prompt,19,zh,0.023384669795632362,0.01029194425791502,0.4401150132911983
same prompt,20,en,0.02422943152487278,0.022951504215598106,0.9472572310265384
same prompt,20,zh,0.027427246794104576,0.014283804222941399,0.5207888465863686
same prompt,21,en,0.014636875130236149,0.017302997410297394,1.182151057267251
same prompt,21,zh,0.028475400060415268,0.012431404553353786,0.4365664583106298
same prompt,22,en,0.01785995438694954,0.018951769918203354,1.061132044774516
same prompt,22,zh,0.028874482959508896,0.012953277677297592,0.4486063939382797
same prompt,23,en,0.026366475969552994,0.02590978518128395,0.9826791115810694
same prompt,23,zh,0.03612035512924194,0.016286570578813553,0.45089729933547745
same prompt,24,en,0.06364307552576065,0.05753632262349129,0.9040468605292724
same prompt,24,zh,0.06251825392246246,0.03636745363473892,0.5817093625142383
same prompt,25,en,0.06749245524406433,0.06152372434735298,0.9115644722787548
same prompt,25,zh,0.06413764506578445,0.03840663656592369,0.5988158206702306
same prompt,26,en,0.07080595195293427,0.06557654589414597,0.9261445413195721
same prompt,26,zh,0.06749802827835083,0.040099356323480606,0.5940818916682635
same prompt,27,en,0.09166040271520615,0.08664366602897644,0.9452682233808531
same prompt,27,zh,0.0830591544508934,0.05177618935704231,0.6233652352872634
same prompt,28,en,0.08705516159534454,0.08082065731287003,0.9283844384615109
same prompt,28,zh,0.08407223969697952,0.04955575242638588,0.5894425152107168
same prompt,29,en,0.0842273086309433,0.07432108372449875,0.8823870183262009
same prompt,29,zh,0.08104243129491806,0.04634717106819153,0.5718877176763307
same prompt,30,en,0.0772705003619194,0.061650775372982025,0.7978565569554003
same prompt,30,zh,0.07980708032846451,0.039599258452653885,0.4961872842569102
same prompt,31,en,0.07578534632921219,0.0545833595097065,0.7202363273843986
same prompt,31,zh,0.08406093716621399,0.03569037839770317,0.424577450607438
same prompt,32,en,0.0775386244058609,0.03906925767660141,0.5038683362771689
same prompt,32,zh,0.13684697449207306,0.02799932286143303,0.20460315593645007
different prompt,1,en,0.01764163002371788,0.011695174500346184,0.6629304936461584
different prompt,1,zh,0.009412591345608234,0.004925019107758999,0.5232373240188457
different prompt,2,en,0.00720796175301075,0.005692389328032732,0.7897363392161499
different prompt,2,zh,0.003010526765137911,0.0025229481980204582,0.8380421085227864
different prompt,3,en,0.006883374880999327,0.004978610202670097,0.7232804094998388
different prompt,3,zh,0.007091605104506016,0.0023602053988724947,0.3328168114398836
different prompt,4,en,0.001958254724740982,0.004317403305321932,2.204719973747539
different prompt,4,zh,0.010103506967425346,0.0019826311618089676,0.19623197848045795
different prompt,5,en,0.0025914234574884176,0.00458044558763504,1.7675403741518816
different prompt,5,zh,0.011998428031802177,0.0021386705338954926,0.17824589423105136
different prompt,6,en,0.003901081159710884,0.0050909812562167645,1.3050180316151294
different prompt,6,zh,0.011172511614859104,0.0026100240647792816,0.2336112196391032
different prompt,7,en,0.01116110384464264,0.002977661555632949,0.26678916324770463
different prompt,7,zh,0.016428830102086067,0.0018751593306660652,0.11413833602357146
different prompt,8,en,0.00607771473005414,0.0009185383678413928,0.15113219501719036
different prompt,8,zh,0.012411070056259632,0.0008177417330443859,0.06588809259294695
different prompt,9,en,-0.0010391782270744443,-0.0018329849699512124,1.7638793059700062
different prompt,9,zh,0.011484465561807156,-0.0004204867291264236,-0.03661352170577255
different prompt,10,en,0.002710724249482155,0.0011028335429728031,0.40684091832043917
different prompt,10,zh,0.012940971180796623,0.0009315161732956767,0.07198193708042352
different prompt,11,en,0.0151270916685462,0.005192565266042948,0.3432626297122177
different prompt,11,zh,0.018924450501799583,0.0029673075769096613,0.15679755544962803
different prompt,12,en,0.005493577569723129,0.0011557696852833033,0.2103856131299795
different prompt,12,zh,0.009697784669697285,0.0009336684015579522,0.09627646244563363
different prompt,13,en,0.0040868851356208324,0.0022541279904544353,0.5515515889614094
different prompt,13,zh,0.012150097638368607,0.0014637046260759234,0.1204685484545995
different prompt,14,en,0.008512930944561958,0.004209204576909542,0.4944483403331696
different prompt,14,zh,0.011318238452076912,0.0022187475115060806,0.196032935770048
different prompt,15,en,0.010919035412371159,0.0052506038919091225,0.48086700826707096
different prompt,15,zh,0.015921279788017273,0.002869962016120553,0.18025950516117137
different prompt,16,en,0.012569243088364601,0.007184817921370268,0.57161898062273
different prompt,16,zh,0.01402914896607399,0.0035214032977819443,0.2510061947661674
different prompt,17,en,0.009801912121474743,0.00552185857668519,0.5633450400547358
different prompt,17,zh,0.014522111974656582,0.0026016840711236,0.17915328539429778
different prompt,18,en,0.013939631171524525,0.007242760621011257,0.5195805062480103
different prompt,18,zh,0.02340361848473549,0.003649005899205804,0.15591631275248272
different prompt,19,en,0.01928441785275936,0.006869738455861807,0.35623260750278923
different prompt,19,zh,0.023384669795632362,0.0035016147885471582,0.14973975767667957
different prompt,20,en,0.02422943152487278,0.001509419409558177,0.062296938663570334
different prompt,20,zh,0.027427246794104576,0.0008970339549705386,0.03270594244127172
different prompt,21,en,0.014636875130236149,-0.004237237386405468,-0.28949057423140734
different prompt,21,zh,0.028475400060415268,-0.0014962423592805862,-0.05254508649943673
different prompt,22,en,0.01785995438694954,-0.0032321366015821695,-0.1809711565637551
different prompt,22,zh,0.028874482959508896,-0.00110412307549268,-0.038238713297169956
different prompt,23,en,0.026366475969552994,0.0010909009724855423,0.041374545985791704
different prompt,23,zh,0.03612035512924194,0.0006473430548794568,0.01792183527994683
different prompt,24,en,0.06364307552576065,-0.00021256573381833732,-0.003339966399522877
different prompt,24,zh,0.06251825392246246,-5.698035965906456e-05,-0.0009114195628325415
different prompt,25,en,0.06749245524406433,0.0018187499372288585,0.02694745554376331
different prompt,25,zh,0.06413764506578445,0.0008406939450651407,0.013107652209601101
different prompt,26,en,0.07080595195293427,0.0028524429071694613,0.0402853549524413
different prompt,26,zh,0.06749802827835083,0.0014667867217212915,0.021730808427062535
different prompt,27,en,0.09166040271520615,0.003481061663478613,0.037977813323540166
different prompt,27,zh,0.0830591544508934,0.0017201744485646486,0.0207102330855253
different prompt,28,en,0.08705516159534454,0.0006470027728937566,0.007432101222225018
different prompt,28,zh,0.08407223969697952,0.0007692188955843449,0.009149499268210654
different prompt,29,en,0.0842273086309433,-0.0003977892338298261,-0.0047228059437683005
different prompt,29,zh,0.08104243129491806,0.0002833918551914394,0.0034968330868574283
different prompt,30,en,0.0772705003619194,-0.0034677586518228054,-0.04487817000770702
different prompt,30,zh,0.07980708032846451,-0.0009272837196476758,-0.011619065825127608
different prompt,31,en,0.07578534632921219,-0.005143484566360712,-0.06786911738870166
different prompt,31,zh,0.08406093716621399,-0.0016851372784003615,-0.020046615410298528
different prompt,32,en,0.0775386244058609,-0.008491591550409794,-0.10951434353493562
different prompt,32,zh,0.13684697449207306,-0.0020133096259087324,-0.014712123767305902
